Exception_ID,Trade_ID,Exception_Type,Severity,Priority,Status,Owner,Created_Date,Last_Updated,Resolution_Time_Hours,Root_Cause,Escalated
EX00347,TRD100400,FX Rate Mismatch,Low,P3,In Progress,Priya,2/4/2026,2/6/2026,,Wrong Counterparty,No
EX00348,TRD100400,Confirmation Mismatch,Medium,P2,Open,Sneha,1/31/2026,2/1/2026,,Holiday Calendar,No
EX00349,TRD100989,Cash Break,Medium,P2,Resolved,Rahul,3/10/2026,3/14/2026,12,SSI Missing,No
EX00350,TRD100989,Confirmation Mismatch,Low,P3,Resolved,Riya,3/15/2026,3/18/2026,36,Price Difference,No
EX00351,TRD100466,Cash Break,Low,P3,In Progress,Neha,6/1/2026,6/3/2026,,Incorrect Trade Date,No
EX00352,TRD100466,Settlement Failure,Medium,P2,Resolved,Rahul,6/1/2026,6/4/2026,48,SSI Missing,No
EX00353,TRD100293,SSI Missing,Medium,P2,In Progress,Karan,2/23/2026,2/24/2026,,Broker Error,No
EX00354,TRD100293,Booking Error,High,P1,In Progress,Priya,2/26/2026,3/1/2026,,System Issue,No
EX00355,TRD100898,Settlement Failure,High,P1,Resolved,Riya,3/26/2026,3/28/2026,8,System Issue,No
EX00356,TRD100898,Confirmation Mismatch,Low,P3,Open,Sneha,3/31/2026,4/2/2026,,Manual Error,No
EX00357,TRD100570,FX Rate Mismatch,Medium,P2,Resolved,Rahul,1/26/2026,1/31/2026,4,Manual Error,No
EX00358,TRD100570,SSI Missing,Medium,P2,In Progress,Karan,1/23/2026,1/26/2026,,SSI Missing,No
EX00359,TRD100499,Cash Break,Medium,P2,Resolved,Neha,6/15/2026,6/18/2026,2,Trade Amendment,No
EX00360,TRD100499,SSI Missing,Medium,P2,In Progress,Sneha,6/16/2026,6/19/2026,,Late Confirmation,No
EX00361,TRD100159,Cash Break,Medium,P2,Open,Ankit,3/12/2026,3/13/2026,,Trade Amendment,No
EX00362,TRD100159,Confirmation Mismatch,Low,P3,Open,Sneha,3/17/2026,3/17/2026,,Trade Amendment,No
EX00363,TRD100717,Position Break,Low,P3,Open,Arjun,4/23/2026,4/24/2026,,Trade Amendment,No
EX00364,TRD100717,Late Confirmation,Medium,P2,Open,Neha,4/20/2026,4/22/2026,,Manual Error,No
EX00365,TRD100304,Broker Mismatch,Low,P3,Open,Ankit,2/21/2026,2/21/2026,,Holiday Calendar,No
EX00366,TRD100304,Confirmation Mismatch,Medium,P2,Resolved,Ankit,2/20/2026,2/24/2026,12,Broker Error,No
EX00367,TRD100223,SSI Missing,Medium,P2,Resolved,Riya,2/18/2026,2/21/2026,8,Wrong Counterparty,No
EX00368,TRD100223,Confirmation Mismatch,Medium,P2,Open,Rahul,2/20/2026,2/21/2026,,Wrong Counterparty,No
EX00369,TRD100838,Broker Mismatch,High,P1,Resolved,Neha,1/27/2026,1/31/2026,2,Late Confirmation,No
EX00370,TRD100838,Broker Mismatch,Low,P3,Resolved,Priya,2/2/2026,2/7/2026,2,System Issue,No
EX00371,TRD100594,Broker Mismatch,High,P1,Resolved,Arjun,5/19/2026,5/21/2026,48,Holiday Calendar,No
EX00372,TRD100594,Confirmation Mismatch,Medium,P2,Open,Neha,5/26/2026,5/28/2026,,Holiday Calendar,No
EX00373,TRD100556,Confirmation Mismatch,Low,P3,In Progress,Riya,3/11/2026,3/12/2026,,SSI Missing,No
EX00374,TRD100556,SSI Missing,Medium,P2,Open,Sneha,3/15/2026,3/17/2026,,Manual Error,No
EX00375,TRD100692,Cash Break,Low,P3,Open,Neha,6/30/2026,7/1/2026,,Trade Amendment,No
EX00376,TRD100692,Confirmation Mismatch,Medium,P2,Open,Rahul,7/2/2026,7/4/2026,,Incorrect Trade Date,No
EX00377,TRD100322,Confirmation Mismatch,Low,P3,Resolved,Karan,4/13/2026,4/18/2026,8,Broker Error,No
EX00378,TRD100322,SSI Missing,Medium,P2,Resolved,Neha,4/21/2026,4/24/2026,4,SSI Missing,No
EX00379,TRD100059,Broker Mismatch,Low,P3,Open,Rahul,5/1/2026,5/1/2026,,Manual Error,No
EX00380,TRD100059,Position Break,Low,P3,Resolved,Priya,4/30/2026,5/3/2026,12,Trade Amendment,No
EX00381,TRD100673,Position Break,Low,P3,In Progress,Ankit,5/26/2026,5/29/2026,,Incorrect Trade Date,No
EX00382,TRD100673,Confirmation Mismatch,Medium,P2,In Progress,Arjun,5/23/2026,5/25/2026,,SSI Missing,No
EX00383,TRD100848,Broker Mismatch,Medium,P2,In Progress,Rahul,2/21/2026,2/22/2026,,Holiday Calendar,No
EX00384,TRD100848,Cash Break,High,P1,Resolved,Sneha,2/23/2026,2/26/2026,48,Late Confirmation,No
EX00385,TRD100489,Late Confirmation,Medium,P2,Resolved,Ankit,2/20/2026,2/23/2026,24,Broker Error,No
EX00386,TRD100489,Broker Mismatch,Medium,P2,In Progress,Ankit,2/19/2026,2/22/2026,,Trade Amendment,No
EX00387,TRD100515,Settlement Failure,High,P1,Resolved,Arjun,2/22/2026,2/25/2026,24,Manual Error,No
EX00388,TRD100515,Broker Mismatch,Low,P3,Resolved,Ankit,2/23/2026,2/25/2026,2,Holiday Calendar,No
EX00389,TRD100784,Confirmation Mismatch,Medium,P2,Resolved,Rahul,5/18/2026,5/21/2026,36,Price Difference,No
EX00390,TRD100784,Confirmation Mismatch,Low,P3,Open,Sneha,5/21/2026,5/22/2026,,Late Confirmation,No
EX00391,TRD100806,Position Break,High,P1,In Progress,Priya,2/28/2026,3/3/2026,,Price Difference,Yes
EX00392,TRD100806,Cash Break,Medium,P2,In Progress,Arjun,3/5/2026,3/8/2026,,Broker Error,No
EX00393,TRD100877,Confirmation Mismatch,Medium,P2,Resolved,Priya,4/23/2026,4/28/2026,4,SSI Missing,No
EX00394,TRD100877,Cash Break,High,P1,Resolved,Ankit,4/26/2026,5/1/2026,2,Broker Error,No
EX00395,TRD100521,Booking Error,Medium,P2,Resolved,Rahul,4/13/2026,4/15/2026,2,Price Difference,No
EX00396,TRD100521,Cash Break,Low,P3,Resolved,Riya,4/13/2026,4/15/2026,36,Late Confirmation,No
EX00397,TRD100083,FX Rate Mismatch,High,P1,Resolved,Ankit,4/26/2026,4/30/2026,2,SSI Missing,No
EX00398,TRD100083,Settlement Failure,Medium,P2,In Progress,Rahul,4/26/2026,4/27/2026,,Price Difference,No
EX00399,TRD100191,Confirmation Mismatch,High,P1,In Progress,Neha,1/19/2026,1/22/2026,,SSI Missing,Yes
EX00400,TRD100191,Confirmation Mismatch,High,P1,Resolved,Arjun,1/24/2026,1/26/2026,12,SSI Missing,No
EX00401,TRD100767,Position Break,High,P1,Resolved,Karan,4/17/2026,4/21/2026,24,Manual Error,No
EX00402,TRD100767,Booking Error,Medium,P2,Resolved,Neha,4/20/2026,4/22/2026,4,Broker Error,No
EX00403,TRD100610,Booking Error,Low,P3,Resolved,Karan,5/3/2026,5/5/2026,24,Holiday Calendar,No
EX00404,TRD100610,SSI Missing,Low,P3,Resolved,Riya,4/25/2026,4/29/2026,8,Price Difference,No
EX00405,TRD100724,Broker Mismatch,Medium,P2,Open,Rahul,1/19/2026,1/21/2026,,Holiday Calendar,No
EX00406,TRD100724,Cash Break,Low,P3,Resolved,Arjun,1/24/2026,1/28/2026,48,Holiday Calendar,No
EX00407,TRD100241,Booking Error,Medium,P2,Resolved,Rahul,1/23/2026,1/24/2026,4,Broker Error,No
EX00408,TRD100241,Confirmation Mismatch,Medium,P2,Open,Ankit,1/17/2026,1/17/2026,,Price Difference,No
EX00409,TRD100414,Late Confirmation,Medium,P2,In Progress,Riya,1/11/2026,1/12/2026,,Incorrect Trade Date,No
EX00410,TRD100414,Trade Capture Error,Low,P3,In Progress,Arjun,1/13/2026,1/14/2026,,Incorrect Trade Date,No
EX00411,TRD100123,SSI Missing,Low,P3,Resolved,Ankit,6/21/2026,6/26/2026,24,Broker Error,No
EX00412,TRD100123,Trade Capture Error,Medium,P2,Resolved,Ankit,6/16/2026,6/17/2026,2,Manual Error,No
EX00413,TRD100584,Cash Break,Medium,P2,Resolved,Priya,7/1/2026,7/3/2026,4,Incorrect Trade Date,No
EX00414,TRD100584,Broker Mismatch,High,P1,Resolved,Arjun,6/24/2026,6/25/2026,48,SSI Missing,No
EX00415,TRD100854,Confirmation Mismatch,Medium,P2,In Progress,Arjun,2/27/2026,3/2/2026,,System Issue,No
EX00416,TRD100854,FX Rate Mismatch,Medium,P2,In Progress,Arjun,2/27/2026,3/2/2026,,Trade Amendment,No
EX00417,TRD100593,Trade Capture Error,Low,P3,Open,Priya,3/5/2026,3/6/2026,,Holiday Calendar,No
EX00418,TRD100593,Settlement Failure,Medium,P2,Open,Riya,2/26/2026,2/26/2026,,Wrong Counterparty,No
EX00419,TRD100609,Confirmation Mismatch,High,P1,Open,Karan,3/20/2026,3/20/2026,,Trade Amendment,Yes
EX00420,TRD100609,Confirmation Mismatch,Medium,P2,Resolved,Arjun,3/16/2026,3/18/2026,8,Broker Error,No
EX00421,TRD100041,Confirmation Mismatch,High,P1,Resolved,Rahul,3/30/2026,4/2/2026,8,Manual Error,No
EX00422,TRD100041,FX Rate Mismatch,Medium,P2,Open,Riya,3/31/2026,4/1/2026,,Incorrect Trade Date,No
EX00423,TRD100084,Trade Capture Error,Medium,P2,Resolved,Priya,4/10/2026,4/15/2026,48,Broker Error,No
EX00424,TRD100084,Confirmation Mismatch,High,P1,In Progress,Sneha,4/7/2026,4/8/2026,,Incorrect Trade Date,Yes
EX00425,TRD100969,Cash Break,High,P1,Resolved,Karan,4/18/2026,4/19/2026,24,Manual Error,No
EX00426,TRD100969,SSI Missing,Medium,P2,Open,Rahul,4/26/2026,4/27/2026,,SSI Missing,No
EX00427,TRD100846,Broker Mismatch,Medium,P2,In Progress,Neha,5/25/2026,5/28/2026,,System Issue,No
EX00428,TRD100846,FX Rate Mismatch,Medium,P2,Resolved,Priya,5/25/2026,5/30/2026,24,Manual Error,No
EX00429,TRD100579,FX Rate Mismatch,Medium,P2,Resolved,Ankit,3/6/2026,3/11/2026,48,SSI Missing,No
EX00430,TRD100579,Confirmation Mismatch,High,P1,Resolved,Neha,3/6/2026,3/10/2026,2,Holiday Calendar,No
EX00431,TRD100536,Broker Mismatch,Medium,P2,In Progress,Riya,4/19/2026,4/20/2026,,Trade Amendment,No
EX00432,TRD100536,Booking Error,Medium,P2,Resolved,Karan,4/17/2026,4/18/2026,12,Broker Error,No
EX00433,TRD100871,SSI Missing,Medium,P2,In Progress,Sneha,4/26/2026,4/27/2026,,SSI Missing,No
EX00434,TRD100871,Trade Capture Error,Medium,P2,In Progress,Rahul,4/23/2026,4/26/2026,,Holiday Calendar,No
EX00435,TRD100268,Late Confirmation,Low,P3,Resolved,Ankit,4/21/2026,4/25/2026,36,Broker Error,No
EX00436,TRD100268,Broker Mismatch,Medium,P2,Resolved,Priya,4/13/2026,4/18/2026,24,SSI Missing,No
EX00437,TRD100210,SSI Missing,Low,P3,Resolved,Rahul,5/29/2026,5/31/2026,4,Holiday Calendar,No
EX00438,TRD100210,Late Confirmation,High,P1,Open,Neha,5/30/2026,6/1/2026,,Incorrect Trade Date,Yes
EX00439,TRD100642,Position Break,Low,P3,In Progress,Riya,1/29/2026,1/30/2026,,Late Confirmation,No
EX00440,TRD100642,Late Confirmation,Medium,P2,Resolved,Riya,2/4/2026,2/5/2026,48,SSI Missing,No
EX00441,TRD100245,Confirmation Mismatch,Medium,P2,Resolved,Sneha,4/28/2026,4/29/2026,24,System Issue,No
EX00442,TRD100245,Position Break,Low,P3,In Progress,Karan,4/25/2026,4/27/2026,,Wrong Counterparty,No
EX00443,TRD100885,Late Confirmation,Medium,P2,Resolved,Riya,6/8/2026,6/10/2026,12,Manual Error,No
EX00444,TRD100885,FX Rate Mismatch,Medium,P2,In Progress,Neha,6/7/2026,6/8/2026,,Incorrect Trade Date,No
EX00445,TRD100860,FX Rate Mismatch,High,P1,In Progress,Sneha,5/12/2026,5/14/2026,,Price Difference,Yes
EX00446,TRD100860,Position Break,High,P1,In Progress,Sneha,5/15/2026,5/17/2026,,Price Difference,Yes
EX00447,TRD100135,FX Rate Mismatch,Medium,P2,In Progress,Arjun,4/14/2026,4/17/2026,,Manual Error,No
EX00448,TRD100135,Position Break,Medium,P2,Resolved,Priya,4/12/2026,4/17/2026,36,Late Confirmation,No
EX00449,TRD100308,Settlement Failure,Low,P3,Resolved,Ankit,1/28/2026,1/30/2026,48,Manual Error,No
EX00450,TRD100308,Cash Break,Medium,P2,In Progress,Karan,1/28/2026,1/30/2026,,Late Confirmation,No
EX00451,TRD100469,Trade Capture Error,Medium,P2,In Progress,Arjun,4/2/2026,4/3/2026,,Broker Error,No
EX00452,TRD100469,Cash Break,Medium,P2,Resolved,Arjun,3/30/2026,4/4/2026,24,Trade Amendment,No
EX00453,TRD100952,Position Break,Low,P3,Resolved,Rahul,6/20/2026,6/21/2026,8,Trade Amendment,No
EX00454,TRD100952,Trade Capture Error,Low,P3,Open,Ankit,6/22/2026,6/22/2026,,System Issue,No
EX00455,TRD100075,FX Rate Mismatch,Medium,P2,Open,Priya,6/8/2026,6/8/2026,,Trade Amendment,No
EX00456,TRD100075,Booking Error,Medium,P2,Resolved,Riya,6/2/2026,6/5/2026,24,Holiday Calendar,No
EX00457,TRD100010,Broker Mismatch,Low,P3,Resolved,Riya,2/9/2026,2/12/2026,12,Wrong Counterparty,No
EX00458,TRD100010,Late Confirmation,High,P1,Open,Neha,2/16/2026,2/17/2026,,System Issue,Yes
EX00459,TRD100858,Booking Error,Medium,P2,Resolved,Neha,3/8/2026,3/11/2026,8,System Issue,No
EX00460,TRD100858,Late Confirmation,High,P1,Open,Riya,3/6/2026,3/6/2026,,Incorrect Trade Date,No
EX00461,TRD100577,Booking Error,Medium,P2,Open,Neha,4/15/2026,4/16/2026,,Holiday Calendar,No
EX00462,TRD100577,Late Confirmation,Medium,P2,Open,Ankit,4/14/2026,4/16/2026,,Incorrect Trade Date,No
EX00463,TRD100103,Cash Break,Low,P3,Resolved,Neha,1/27/2026,1/31/2026,36,Trade Amendment,No
EX00464,TRD100103,Confirmation Mismatch,Low,P3,In Progress,Karan,1/21/2026,1/23/2026,,Trade Amendment,No
EX00465,TRD100076,Cash Break,Low,P3,Open,Sneha,5/27/2026,5/27/2026,,Price Difference,No
EX00466,TRD100076,Cash Break,Medium,P2,Open,Arjun,5/23/2026,5/24/2026,,System Issue,No
EX00467,TRD100551,Late Confirmation,Medium,P2,Resolved,Sneha,5/19/2026,5/20/2026,12,Broker Error,No
EX00468,TRD100551,Broker Mismatch,Low,P3,Open,Neha,5/28/2026,5/29/2026,,Holiday Calendar,No
EX00469,TRD100663,Late Confirmation,High,P1,In Progress,Karan,2/27/2026,2/28/2026,,Trade Amendment,Yes
EX00470,TRD100663,Cash Break,Medium,P2,Open,Priya,2/26/2026,2/27/2026,,Incorrect Trade Date,No
EX00471,TRD100519,Late Confirmation,Medium,P2,Resolved,Priya,3/16/2026,3/18/2026,4,Broker Error,No
EX00472,TRD100519,Position Break,Low,P3,Open,Riya,3/14/2026,3/16/2026,,Holiday Calendar,No
EX00473,TRD100621,Trade Capture Error,Medium,P2,Resolved,Arjun,4/11/2026,4/16/2026,2,Manual Error,No
EX00474,TRD100621,Settlement Failure,Low,P3,Open,Rahul,4/19/2026,4/19/2026,,Price Difference,No
EX00475,TRD100713,Confirmation Mismatch,Medium,P2,In Progress,Riya,1/22/2026,1/23/2026,,Late Confirmation,No
EX00476,TRD100713,FX Rate Mismatch,Medium,P2,Resolved,Arjun,1/18/2026,1/21/2026,8,Holiday Calendar,No
EX00477,TRD100358,Cash Break,Low,P3,In Progress,Ankit,6/21/2026,6/23/2026,,Trade Amendment,No
EX00478,TRD100358,Trade Capture Error,Low,P3,In Progress,Ankit,6/22/2026,6/23/2026,,Trade Amendment,No
EX00479,TRD100630,Cash Break,Medium,P2,Resolved,Rahul,1/28/2026,1/29/2026,4,Holiday Calendar,No
EX00480,TRD100630,Late Confirmation,Low,P3,Resolved,Rahul,1/28/2026,1/29/2026,24,SSI Missing,No
EX00481,TRD100890,Position Break,Medium,P2,Resolved,Sneha,4/6/2026,4/10/2026,12,Late Confirmation,No
EX00482,TRD100890,Settlement Failure,Medium,P2,Open,Neha,4/8/2026,4/10/2026,,Holiday Calendar,No
EX00483,TRD100379,Late Confirmation,Medium,P2,Open,Priya,4/28/2026,4/30/2026,,Holiday Calendar,No
EX00484,TRD100379,Confirmation Mismatch,Low,P3,Resolved,Sneha,5/3/2026,5/6/2026,2,Broker Error,No
EX00485,TRD100292,Trade Capture Error,High,P1,Resolved,Arjun,6/10/2026,6/15/2026,48,Holiday Calendar,No
EX00486,TRD100292,Cash Break,Medium,P2,Resolved,Ankit,6/13/2026,6/17/2026,4,Manual Error,No
EX00487,TRD100635,FX Rate Mismatch,High,P1,Resolved,Priya,3/5/2026,3/10/2026,48,SSI Missing,No
EX00488,TRD100635,FX Rate Mismatch,Low,P3,Resolved,Neha,3/5/2026,3/7/2026,8,System Issue,No
EX00489,TRD100744,Booking Error,Medium,P2,Resolved,Arjun,6/5/2026,6/6/2026,48,Incorrect Trade Date,No
EX00490,TRD100744,SSI Missing,Medium,P2,Resolved,Arjun,6/3/2026,6/5/2026,2,Incorrect Trade Date,No
EX00491,TRD100557,Confirmation Mismatch,Low,P3,In Progress,Arjun,2/4/2026,2/7/2026,,Incorrect Trade Date,No
EX00492,TRD100557,FX Rate Mismatch,High,P1,Resolved,Riya,2/7/2026,2/11/2026,8,Trade Amendment,No
EX00493,TRD100557,Late Confirmation,High,P1,Open,Karan,1/31/2026,1/31/2026,,Wrong Counterparty,Yes
EX00494,TRD100310,Late Confirmation,Medium,P2,Resolved,Rahul,1/22/2026,1/25/2026,48,Trade Amendment,No
EX00495,TRD100310,Confirmation Mismatch,Medium,P2,Resolved,Neha,1/22/2026,1/23/2026,12,Incorrect Trade Date,No
EX00496,TRD100310,Late Confirmation,High,P1,In Progress,Ankit,1/24/2026,1/27/2026,,Incorrect Trade Date,Yes
EX00497,TRD100823,Position Break,Medium,P2,Open,Ankit,5/31/2026,5/31/2026,,Broker Error,No
EX00498,TRD100823,Broker Mismatch,Medium,P2,Open,Rahul,5/28/2026,5/28/2026,,Manual Error,No
EX00499,TRD100823,SSI Missing,Medium,P2,Resolved,Sneha,5/29/2026,6/2/2026,48,Broker Error,No
EX00500,TRD100009,Trade Capture Error,Medium,P2,Resolved,Riya,6/9/2026,6/14/2026,2,Holiday Calendar,No
EX00501,TRD100009,FX Rate Mismatch,Low,P3,Resolved,Sneha,6/12/2026,6/17/2026,48,Broker Error,No
EX00502,TRD100009,Confirmation Mismatch,Medium,P2,Resolved,Riya,6/12/2026,6/13/2026,36,Holiday Calendar,No
EX00503,TRD100973,Booking Error,High,P1,Open,Ankit,4/27/2026,4/29/2026,,Broker Error,No
EX00504,TRD100973,FX Rate Mismatch,Low,P3,Resolved,Arjun,4/26/2026,4/28/2026,48,Late Confirmation,No
EX00505,TRD100973,FX Rate Mismatch,Low,P3,Open,Sneha,5/6/2026,5/7/2026,,SSI Missing,No
EX00506,TRD100307,Broker Mismatch,Low,P3,Resolved,Arjun,1/24/2026,1/27/2026,8,SSI Missing,No
EX00507,TRD100307,Confirmation Mismatch,High,P1,Resolved,Neha,1/21/2026,1/25/2026,48,Wrong Counterparty,No
EX00508,TRD100307,Trade Capture Error,High,P1,Resolved,Arjun,1/25/2026,1/29/2026,4,SSI Missing,No
EX00509,TRD100107,Confirmation Mismatch,Low,P3,Resolved,Karan,5/21/2026,5/26/2026,48,Broker Error,No
EX00510,TRD100107,Settlement Failure,Medium,P2,In Progress,Rahul,5/13/2026,5/15/2026,,Late Confirmation,No
EX00511,TRD100107,SSI Missing,Low,P3,In Progress,Priya,5/18/2026,5/21/2026,,Trade Amendment,No
EX00512,TRD100138,Position Break,High,P1,Open,Riya,4/30/2026,5/1/2026,,Wrong Counterparty,Yes
EX00513,TRD100138,Cash Break,Low,P3,Open,Neha,4/25/2026,4/26/2026,,Broker Error,No
EX00514,TRD100138,Booking Error,Low,P3,Resolved,Arjun,4/30/2026,5/5/2026,36,Late Confirmation,No
EX00515,TRD100942,Cash Break,Medium,P2,Resolved,Priya,7/3/2026,7/6/2026,36,Trade Amendment,No
EX00516,TRD100942,Confirmation Mismatch,Medium,P2,Open,Arjun,6/29/2026,7/1/2026,,Late Confirmation,No
EX00517,TRD100942,Position Break,Medium,P2,Open,Neha,7/4/2026,7/6/2026,,Holiday Calendar,No
EX00518,TRD100119,SSI Missing,Low,P3,Open,Rahul,3/31/2026,4/1/2026,,Manual Error,No
EX00519,TRD100119,SSI Missing,High,P1,Open,Rahul,4/2/2026,4/3/2026,,System Issue,Yes
EX00520,TRD100119,Confirmation Mismatch,Medium,P2,Open,Ankit,4/5/2026,4/6/2026,,Late Confirmation,No
